,ecg,eda,acc
308,0.0,1018.0,63.0
309,0.0,1018.0,64.0
310,0.0,260.0,64.0
311,0.0,1018.0,63.0
312,0.0,392.0,65.0
313,0.0,1018.0,66.0
314,0.0,1018.0,67.0
315,0.0,1018.0,68.0
316,0.0,1018.0,68.0
317,0.0,0.0,66.0
318,0.0,0.0,67.0
319,0.0,1018.0,67.0
320,0.0,1018.0,65.0
321,0.0,220.0,63.0
322,0.0,0.0,64.0
323,0.0,156.0,65.0
324,0.0,0.0,64.0
325,0.0,1018.0,65.0
326,0.0,0.0,63.0
327,0.0,1018.0,65.0
328,0.0,209.0,66.0
329,0.0,1017.0,67.0
330,0.0,540.0,68.0
331,0.0,0.0,68.0
332,0.0,0.0,68.0
333,0.0,0.0,67.0
334,0.0,0.0,66.0
335,0.0,0.0,66.0
336,0.0,421.0,67.0
337,0.0,1018.0,67.0
338,0.0,0.0,65.0
339,0.0,240.0,66.0
340,0.0,0.0,67.0
341,0.0,906.0,68.0
342,0.0,97.0,67.0
343,0.0,1017.0,67.0
344,0.0,335.0,66.0
345,0.0,1018.0,69.0
346,0.0,1018.0,69.0
347,0.0,344.0,68.0
348,0.0,0.0,67.0
349,0.0,0.0,65.0
350,0.0,0.0,66.0
351,0.0,0.0,65.0
352,0.0,0.0,66.0
353,0.0,1018.0,67.0
354,0.0,1018.0,66.0
355,0.0,0.0,65.0
356,0.0,0.0,65.0
357,0.0,341.0,67.0
358,1.0,0.0,66.0
359,0.0,316.0,67.0
360,0.0,0.0,65.0
361,0.0,657.0,67.0
362,0.0,1018.0,68.0
363,0.0,0.0,67.0
364,0.0,0.0,67.0
365,0.0,0.0,64.0
366,0.0,0.0,62.0
367,0.0,0.0,62.0
368,0.0,0.0,65.0
369,0.0,1018.0,66.0
370,0.0,1018.0,66.0
371,0.0,1018.0,66.0
372,0.0,1018.0,66.0
373,1.0,1018.0,65.0
374,0.0,822.0,63.0
375,0.0,0.0,61.0
376,0.0,0.0,61.0
377,0.0,0.0,60.0
378,0.0,0.0,60.0
379,0.0,0.0,63.0
380,0.0,0.0,64.0
381,0.0,1018.0,66.0
382,0.0,1018.0,67.0
383,0.0,1018.0,66.0
384,0.0,0.0,65.0
385,0.0,196.0,65.0
386,0.0,0.0,66.0
387,0.0,301.0,67.0
388,0.0,0.0,66.0
389,0.0,1018.0,67.0
390,0.0,0.0,67.0
391,0.0,1018.0,68.0
392,0.0,488.0,68.0
393,1.0,1018.0,68.0
394,0.0,1018.0,68.0
395,0.0,1018.0,67.0
396,1.0,0.0,66.0
397,0.0,0.0,66.0
398,0.0,0.0,67.0
399,0.0,0.0,67.0
400,0.0,0.0,64.0
401,0.0,406.0,66.0
402,0.0,0.0,66.0
403,0.0,1018.0,67.0
404,0.0,0.0,66.0
405,0.0,1018.0,67.0
406,0.0,281.0,66.0
407,0.0,1018.0,67.0
408,0.0,1018.0,65.0
409,0.0,1018.0,64.0
410,0.0,0.0,63.0
411,0.0,0.0,63.0
412,0.0,0.0,64.0
413,0.0,0.0,64.0
414,0.0,0.0,63.0
415,0.0,414.0,64.0
416,0.0,0.0,65.0
417,0.0,1018.0,65.0
418,0.0,345.0,64.0
419,0.0,1018.0,65.0
420,0.0,1018.0,63.0
421,1.0,1018.0,65.0
422,0.0,0.0,63.0
423,0.0,1018.0,63.0
424,0.0,0.0,63.0
425,0.0,1018.0,63.0
426,0.0,0.0,63.0
427,0.0,488.0,63.0
428,0.0,0.0,63.0
429,0.0,1018.0,63.0
430,0.0,1018.0,63.0
431,1.0,1018.0,64.0
432,0.0,1018.0,63.0
433,0.0,0.0,61.0
434,0.0,0.0,62.0
435,0.0,1018.0,62.0
436,0.0,0.0,61.0
437,0.0,234.0,62.0
438,0.0,0.0,62.0
439,0.0,0.0,63.0
440,0.0,0.0,63.0
441,0.0,0.0,63.0
442,0.0,0.0,62.0
443,0.0,1018.0,62.0
444,0.0,1018.0,62.0
445,1.0,1018.0,62.0
446,0.0,1018.0,62.0
447,0.0,1018.0,62.0
448,0.0,334.0,60.0
449,1.0,1018.0,60.0
450,0.0,0.0,60.0
451,0.0,0.0,61.0
452,0.0,0.0,62.0
453,0.0,0.0,62.0
454,0.0,0.0,62.0
455,0.0,367.0,61.0
456,0.0,0.0,61.0
457,1.0,1018.0,62.0
458,0.0,1018.0,62.0
459,0.0,0.0,61.0
460,0.0,0.0,61.0
461,1.0,1018.0,62.0
462,0.0,515.0,62.0
463,0.0,0.0,59.0
464,0.0,0.0,62.0
465,0.0,0.0,62.0
466,0.0,0.0,63.0
467,0.0,0.0,63.0
468,0.0,0.0,61.0
469,0.0,643.0,59.0
470,0.0,0.0,61.0
471,0.0,1018.0,63.0
472,0.0,394.0,61.0
473,1.0,1018.0,61.0
474,0.0,778.0,61.0
475,0.0,1017.0,61.0
476,0.0,0.0,60.0
477,0.0,0.0,61.0
478,0.0,0.0,62.0
479,0.0,0.0,63.0
480,0.0,0.0,63.0
481,0.0,242.0,62.0
482,0.0,0.0,61.0
483,0.0,1018.0,62.0
484,0.0,312.0,61.0
485,1.0,1018.0,61.0
486,0.0,1018.0,62.0
487,1.0,1018.0,61.0
